2019-10-08,45610
2019-10-09,46936
2019-10-10,43266
2019-10-11,45236
2019-10-12,45975
2019-10-13,46245
2019-10-14,50089
2019-10-15,49163
2019-10-16,47610
2019-10-17,47827
2019-10-18,49177
2019-10-19,50245
2019-10-20,46861
2019-10-21,49567
2019-10-22,46957
2019-10-23,49130
2019-10-24,47865
2019-10-25,48076
2019-10-26,49147
2019-10-27,43693
2019-10-28,45706
2019-10-29,43083
2019-10-30,42805
2019-10-31,43979
2019-11-01,47027
2019-11-02,48695
2019-11-03,47999
2019-11-04,45989
2019-11-05,44015
2019-11-06,43739
2019-11-07,45552
2019-11-08,47188
2019-11-09,49049
2019-11-10,44819
2019-11-11,43425
2019-11-12,41499
2019-11-13,44244
2019-11-14,45396
2019-11-15,46580
2019-11-16,47289
2019-11-17,43881
2019-11-18,41356
2019-11-19,38980
2019-11-20,41868
2019-11-21,45060
2019-11-22,45039
2019-11-23,45427
2019-11-24,42049
2019-11-25,41175
2019-11-26,38261
2019-11-27,38924
2019-11-28,44149
2019-11-29,42511
2019-11-30,41475
2019-12-01,37869
2019-12-02,36057
2019-12-03,33698
2019-12-04,34580
2019-12-05,41197
2019-12-06,41566
2019-12-07,40670
2019-12-08,40408
2019-12-09,40325
2019-12-10,37923
2019-12-11,44999
2019-12-12,43434
2019-12-13,43139
2019-12-14,42021
2019-12-15,42582
2019-12-16,40247
2019-12-17,40675
2019-12-18,44149
2019-12-19,42663
2019-12-20,44887
2019-12-21,44669
2019-12-22,43388
2019-12-23,42101
2019-12-24,42991
2019-12-25,44509
2019-12-26,45236
2019-12-27,46068
2019-12-28,45412
2019-12-29,43271
2019-12-30,42914
2019-12-31,40867
