분류,장소명,위도,경도
체험,갈중이(천연염색체험),33.2350134,126.3137246
체험,교래 삼다수마을,33.430539,126.6742747
체험,다이나믹 메이즈 (제주 성읍점),33.3992006,126.7852521
체험,다희연,33.4864719,126.7074172
체험,도순다원,33.2714562,126.4804861
체험,동광리농촌체험마을,33.3151545,126.3426768
체험,두맹이골목,33.5122087,126.5333927
체험,마린파크,33.2408333,126.3347222
체험,번개과학체험관,33.2895787,126.5878734
체험,사진놀이터,33.456158,126.4419907
체험,서귀포 가시리마을 (녹산로 유채꽃도로),33.3935553,126.7318735
체험,서귀포 알토산마을,33.3088177,126.7797353
체험,서귀포 예래생태마을,33.2444697,126.3909781
체험,서귀포 용왕난드르마을,33.2354149,126.3670042
체험,서귀포 전기버스 시티투어,33.2541205,126.560076
체험,서프라이즈 테마파크,33.465478,126.6586605
체험,성이시돌목장,33.3483892,126.3276375
체험,아홉굿마을,33.3271486,126.2267016
체험,어멍아방잔치마을,33.361868,126.8407562
체험,이중섭 문화거리,33.2455813,126.5642337
체험,점보빌리지,33.276266,126.305237
체험,제주 동백마을,33.3204358,126.7451736
체험,제주 명도암참살이마을,33.4616354,126.6070908
체험,제주 서광다원,33.305449,126.29217
체험,제주 서귀포 상예마을,33.2656219,126.3769403
체험,제주 유수암마을,33.4418795,126.402684
체험,제주 청수마을,33.3183082,126.2473123
체험,제주 초콜릿랜드,33.2494021,126.4135761
체험,제주도예촌,33.2648975,126.2356479
체험,제주마방목지,33.4269778,126.6040726
체험,제주샘주 공장,33.3586429,126.2415545
체험,제주선인장마을,33.3753662,126.2160162
체험,제주탐나라공화국,33.3336488,126.3272471
체험,제주허브동산,33.3297951,126.814944
체험,제주힐링명상센터 (무병장수테마파크),33.3954954,126.3611333
체험,조랑말체험공원,33.3831271,126.7362573
체험,주식회사 제이엠그랑블루요트,33.2382431,126.4396197
체험,하도어촌체험마을,33.5200922,126.9041337
체험,한라산 소주공장 투어,33.4073649,126.2563337
체험,한수풀 해녀학교,33.4428251,126.2786791
체험,혼인지마을,33.4151688,126.8938522
휴양,금능석물원,33.3851246,126.2271401
휴양,금산공원(납읍난대림지대),33.4344348,126.3319129
휴양,금호리조트 제주아쿠아나,33.2729636,126.7014772
휴양,김녕미로공원,33.53593,126.772173
휴양,대발이파크,33.2746312,126.7058491
휴양,더마파크,33.3542484,126.243173
휴양,마라도 가파도 정기여객선,33.2100551,126.2585746
휴양,마라도가는 여객선,33.1219549,126.2699324
휴양,마라도잠수함,33.2280959,126.3055263
휴양,메이즈랜드,33.4887415,126.8009514
휴양,북촌 돌하르방공원,33.5390489,126.6893273
휴양,사라봉공원,33.5177405,126.5449135
휴양,삼매봉,33.2447103,126.5468972
휴양,서귀포유람선 뉴파라다이스호,33.2393443,126.5586724
휴양,서귀포잠수함,33.2392231,126.5586562
휴양,선녀와나무꾼 테마공원,33.4791211,126.7034984
휴양,성산포유람선,33.4729122,126.934245
휴양,수목원테마파크(아이스뮤지엄),33.470619,126.4881811
휴양,신산공원,33.5059296,126.532976
휴양,에코랜드테마파크,33.447037,126.6674398
휴양,용두암해수랜드,33.5161182,126.5044885
휴양,우도잠수함,33.4729576,126.9342683
휴양,일출랜드,33.3835243,126.8413634
휴양,제주 산방산탄산온천,33.2481936,126.2989561
휴양,제주 센트럴파크,33.5059296,126.532976
휴양,제주 유리의성,33.3145774,126.2736553
휴양,제주4·3평화공원,33.4511596,126.6189414
휴양,제주공룡랜드,33.4408969,126.4345309
휴양,제주다원 녹차미로공원,33.2923139,126.4208801
휴양,제주도 관광특구,33.4890113,126.4983023
휴양,제주도 국가지질공원,33.2948374,126.1625985
휴양,제주러브랜드,33.451638,126.49
휴양,제주별빛누리공원,33.4445482,126.5492536
휴양,제주불빛정원,33.4222395,126.4092532
휴양,제주워터월드,33.2452917,126.5093796
휴양,제주조각공원(포레스트 판타지아),33.253678,126.3222234
휴양,중문관광단지,33.2486522,126.4124374
휴양,최남단체험감귤농장,33.2901,126.6937
휴양,코코몽에코파크 (제주),33.2746533,126.7052418
휴양,퍼시픽랜드,33.2437366,126.4156983
휴양,한림공원,33.389522,126.2392559
휴양,화조원,33.4431304,126.3385993
휴양,휴애리자연생활공원,33.3087552,126.633791
건축/조형물,하멜기념비,33.235786,126.314184
문화/예술/역사,귤림서원,33.510305,126.524931
문화/예술/역사,복신미륵,33.515819,126.532133
문화/예술/역사,"수보사(구,광명사)",33.249183,126.419141
문화/예술/역사,원당사지,33.448807,126.658723
문화/예술/역사,정의현성,33.391944,126.801178
박물관/전시관/미술관,SOS박물관,33.247418,126.509219
박물관/전시관/미술관,세계자동차&피아노 박물관,33.283446,126.349729
박물관/전시관/미술관,드라마월드,,
체험,구엄어촌체험마을,33.484158,126.377294
체험,낙타트레킹,33.402888,126.778691
체험,물드리네,33.322734,126.227016
체험,신흥2리마을,33.320541,126745144
체험,위미1리어촌체험마을,33.270923,126.658483
체험,이상한 나라의 앨리스,33.28894,126.321862
휴양,어영소공원,33.518098,126.487167
휴양,펀테마파크,,
